model,generation,morcela,generation_cleaned,hadR,perplexity,slor
english,-Oh I know what you mean.,10.11358450750798,-Oh I know what you mean.,False,1.6819544318481592,10.250408975580548
english,I've been to the park where I like.,10.649339010081999,I've been to the park where I like.,False,1.5300634863610347,11.069700007626555
english,"The movie is about the ""Halloween Tree"" of Supergirl"" movies.",10.082560877233187,"The movie is about the ""Halloween Tree"" of Supergirl"" movies.",False,1.3208558815409528,10.795532633144244
english,- Yes indeed.,7.632740774704031,- Yes indeed.,False,8.961606730066388,6.521109107979802
english,-What?,6.40200133181024,-What?,False,8.411394985017361,4.366588300123616
english,Don't think I'm going to be able to change things now.,10.934762191180964,Don't think I'm going to be able to change things now.,False,1.2307149740701844,11.626325651846106
english,"And if you go down the road, and on the right, you go down to the north.",10.907792390156356,"And if you go down the road, and on the right, you go down to the north.",False,1.1685063968036808,11.78706371736162
english,No.,8.105290137907335,No.,False,4.424580468692286,4.66413126467196
english,In the name of the people or anything other.,11.209330020021266,In the name of the people or anything other.,False,1.5240582182495452,11.697016478732904
english,"But the real, the biggest point of all this is to be, where you think he thinks he's going.",10.74954921848916,"But the real, the biggest point of all this is to be, where you think he thinks he's going.",False,1.183401326591508,11.671228293602276
english,"Okay, you got to keep him on the case?",11.026168084085697,"Okay, you got to keep him on the case?",False,1.395398862724029,11.564682747490657
english,What are you going to do when you find him?,11.61021259220412,What are you going to do when you find him?,False,1.407606503734579,12.220495793065517
english,It was so exciting!,10.883252817718958,It was so exciting!,False,2.3736815766952994,10.464588083806566
english,"I thought you'd leave this, you little bit?",10.109581999032109,"I thought you'd leave this, you little bit?",False,1.5681897909683786,10.55125451198637
english,- Come on.,8.224974873212954,- Come on.,False,5.296514332705443,7.12137461633869
english,- I will kill them all if they'll make us good.,10.752203568999493,- I will kill them all if they'll make us good.,False,1.4676029483327775,11.392399405838804
english,The police believe that he was accused of being the murderer of kidnapping himself is involved and sentenced to death by his sister Michelle Obama.,11.708742839324778,The police believe that he was accused of being the murderer of kidnapping himself is involved and sentenced to death by his sister Michelle Obama.,False,1.1839914555763893,12.792797544352194
english,Let's put these down.,9.103217571343698,Let's put these down.,False,2.708029004111365,8.7918267336547
english,A new year is one day.,10.363943264436367,A new year is one day.,False,2.2771260045910333,10.40338339661229
english,So are you all right? -,11.32210605854126,So are you all right? -,False,1.855125875483216,11.452740957473765
english,We are already back?,10.176946393506139,We are already back?,False,4.123210387022507,9.739621814074638
english,"If you're going to think about it the same way, you might not have been able to tell me if I hadn't come by the house, but if I just showed on television I would know for certain about it.",11.369572086722854,"If you're going to think about it the same way, you might not have been able to tell me if I hadn't come by the house, but if I just showed on television I would know for certain about it.",False,1.078215321715193,12.550715915975909
english,You understand that Mr Smith was his uncle's best friend and that he did not have to be in the Army.,11.499153313626065,You understand that Mr Smith was his uncle's best friend and that he did not have to be in the Army.,False,1.179635165806925,12.511205690823356
english,"""Who is that gentleman's friend?"" he demanded.",9.684362445021945,"""Who is that gentleman's friend?"" he demanded.",False,1.5387073263308333,10.072253035241774
english,"Now, as you do what you have learned how to write a game for me, I can't believe you would put you into one such a pile of rubbish.",11.21628874667332,"Now, as you do what you have learned how to write a game for me, I can't believe you would put you into one such a pile of rubbish.",False,1.1229226450683398,12.309407536190278
english,"Hey... let me get my paper. ♪ ♪ come on, everybody ♪ Everybody ♪",10.71992777646731,"Hey... let me get my paper. ♪ ♪ come on, everybody ♪ Everybody ♪",False,1.3430438076422584,11.512086478007229
english,What?,7.92974108977869,What?,False,16.666579950282117,4.6279023377411885
english,i didn't see why ross was sitting in the shower.,10.511430670106451,i didn't see why ross was sitting in the shower.,False,1.4938104098201876,11.124617650977497
english,- I didn't stop the bus.,9.71314136789845,- I didn't stop the bus.,False,1.812921638280315,9.810560377173879
english,"My name, yes.",8.503634281708617,"My name, yes.",False,2.385733550041852,7.797467488105944
english,My first mission was the space shuttle mission of Flight 101 to Discovery in 1960.,11.48428379586682,My first mission was the space shuttle mission of Flight 101 to Discovery in 1960.,False,1.4135833137845526,12.341343164080296
english,What's that?,8.474118830824766,What's that?,False,3.8814680692364067,7.363049196716819
english,I don't want to come again.,10.129640670002253,I don't want to come again.,False,1.514891006127584,10.25574301263493
english,"""Then you will have this mange, and a few shan’s daughter and a daughter.”",10.721945634512192,"""Then you will have this mange, and a few shan’s daughter and a daughter.”",False,1.2534924271094008,11.609132806064956
english,So do you know what you're doing?,11.126458351154403,So do you know what you're doing?,False,1.3745776862668067,11.48933278572051
english,"Hey, wait a minute here, do you think me or am I a man? - A guy?",10.789293897785232,"Hey, wait a minute here, do you think me or am I a man? - A guy?",False,1.2250119124840986,11.681852644815317
english,That is what he told me.,11.051004180763428,That is what he told me.,False,1.5613750770069623,11.127943279334987
english,"All the things that they did all this time  and  really had it worked together, he decided that the people who had been killed had to be treated they were not called to a bad position are not immune into a kind of  of an emergency",11.400109671608066,"All the things that they did all this time  and  really had it worked together, he decided that the people who had been killed had to be treated they were not called to a bad position are not immune into a kind of  of an emergency",False,1.0935160525976664,12.607112871794527
english,How do you have a boyfriend?,11.429863818812226,How do you have a boyfriend?,False,1.6394751867710264,11.55858346023351
english,It is.,8.69513628722509,It is.,False,4.956737410891163,6.87333749282877
english,"In March 2013, this was done under the Local Government Railways Preservation Act of India Act of India and the Government Act of India, which were passed on a branch from the Delhi–Aryan Act, and served in the Peerage of British India",11.316079650642854,"In March 2013, this was done under the Local Government Railways Preservation Act of India Act of India and the Government Act of India, which were passed on a branch from the Delhi–Aryan Act, and served in the Peerage of British India",False,1.0821874609224238,12.515257811602437
english,It makes me sad even in a dream.,10.97160993318676,It makes me sad even in a dream.,False,1.7079039803982823,11.342024016239083
english,I had that in mind and I had it last time.,11.280496696038936,I had that in mind and I had it last time.,False,1.4478302934678067,11.924006539658818
english,If he knew the story was on his desk.,11.25835127551613,If he knew the story was on his desk.,False,1.4960364616472928,11.749726182436838
english,"Oh, dear, what are you doing?",9.688945294642378,"Oh, dear, what are you doing?",False,1.3497094574531556,9.875560550883845
english,Oh aye.,9.064126603920089,Oh aye.,False,4.451733821027497,8.041090041887719
english,"The only difference between them is that by using a force field to hold the particle, then it's the one that has to start spinning off a lot of the energy it is, and this is just a differential of the particle. +",11.468936819271889,"The only difference between them is that by using a force field to hold the particle, then it's the one that has to start spinning off a lot of the energy it is, and this is just a differential of the particle. +",False,1.08825580581891,12.671938256892284
english,"We're gonna talk about now on the third floor, and I'll say  and I'll say that I'm getting out of there.",10.470606413049921,"We're gonna talk about now on the third floor, and I'll say  and I'll say that I'm getting out of there.",False,1.124383213051311,11.423786718740232
english,- I'll take it.,9.140548095382641,- I'll take it.,False,2.292833085150209,8.813526033461306
english,Yeah.,8.692763932261707,Yeah.,False,4.813730746195478,5.332940529317868
shuffle_nondeterministic,Yeah.,8.692763932261707,Yeah.,False,4.813730746195478,5.332940529317868
shuffle_nondeterministic,". it that the from the. that the to's one to in, a has's in the been of. to there a from., the.He from",10.219184992072991,". it that the from the. that the to's one to in, a has's in the been of. to there a from., the.He from",False,1.2271395740435624,11.193606861568275
shuffle_nondeterministic,The!? of one my,9.27000324476404,The!? of one my,False,3.9597477783903283,9.02481022477866
shuffle_nondeterministic,"to.,., is, which be not, they are is that and are., and to a of have the of people, to",10.538140863602807,"to.,., is, which be not, they are is that and are., and to a of have the of people, to",False,1.2583962311941292,11.487842694732828
shuffle_nondeterministic,was.She,7.052183149805489,was.She,False,12.631630433874285,5.144723300431811
shuffle_nondeterministic,". be the at of to the a or the for as they, would",11.242922741287485,". be the at of to the a or the for as they, would",False,1.5301560256336577,12.041998508658928
shuffle_nondeterministic,this a toAnd of for this they. they know,10.772497278522094,this a toAnd of for this they. they know,False,1.8674655746858115,11.315580281495892
shuffle_nondeterministic,? youHow know do,10.131773863100417,? youHow know do,False,5.372652402655242,9.721027587961599
shuffle_nondeterministic,'s and for as the in. the time on of,11.077831408705428,'s and for as the in. the time on of,False,1.77172952280753,11.65151135982339
shuffle_nondeterministic,"the in and. of at oneIt has of. the, population of city a province the area",10.441589526286384,"the in and. of at oneIt has of. the, population of city a province the area",False,1.4419609963173616,11.289874391507963
shuffle_nondeterministic,"I'm,. hereListen",8.77436639561061,"I'm,. hereListen",False,9.4253733200315,8.267325305557883
